 10,0.000004,45,5
 20,0.000007,190,17
 30,0.000011,435,25
 40,0.000015,780,35
 50,0.000020,1225,42
 60,0.000031,1770,58
 70,0.000037,2415,57
 80,0.000043,3160,71
 90,0.000043,4005,82
 100,0.000053,4950,85
 200,0.000140,19900,178
 300,0.000415,44850,277
 400,0.000629,79800,361
 500,0.000889,124750,464
 600,0.001221,179700,548
 700,0.001606,244650,621
 800,0.002119,319600,727
 900,0.002108,404550,819
 1000,0.002309,499500,900
 2000,0.007650,1999000,1817
 3000,0.014674,4498500,2723
 4000,0.022696,7998000,3620
 5000,0.035202,12497500,4565
 6000,0.051672,17997000,5453
 7000,0.066961,24496500,6340
 8000,0.087773,31996000,7299
 9000,0.111309,40495500,8187
 10000,0.137632,49995000,9098
 20000,0.550261,199990000,18160
 30000,1.220646,449985000,27303
 40000,2.163176,799980000,36506
 50000,3.381217,1249975000,45458
 60000,4.844558,1799970000,54552
 70000,6.595521,2449965000,63589
 80000,8.638942,3199960000,72783
 90000,11.140234,4049955000,81860
 100000,13.747886,4999950000,90762
 200000,52.515435,19999900000,181828
 300000,118.224777,44999850000,272765
 400000,215.886350,79999800000,363743
 500000,333.722876,124999750000,454466
 600000,476.394016,179999700000,545556
 700000,649.905252,244999650000,635928
 800000,850.550700,319999600000,727528
 900000,1076.099291,404999550000,817502
 1000000,1317.904845,499999500000,908702
